Device,MAC,Timestamp,Time(03:00),Elapsed(s),W(number),X(number),Y (number),Z (number)
MetaWear94,E25AD03D0194,Device,MAC,Timestamp,Time(03:00),Elapsed(s),W(number),X(number),Y,(number),Z,(number)
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389150132,2024-02-08T12:45:50.132,53.4,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389150142,2024-02-08T12:45:50.142,53.41,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389150152,2024-02-08T12:45:50.152,53.42,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389150162,2024-02-08T12:45:50.162,53.43,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389150172,2024-02-08T12:45:50.172,53.44,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389150182,2024-02-08T12:45:50.182,53.45,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389150192,2024-02-08T12:45:50.192,53.46,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389150202,2024-02-08T12:45:50.202,53.47,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389150212,2024-02-08T12:45:50.212,53.48,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389150222,2024-02-08T12:45:50.222,53.49,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389150232,2024-02-08T12:45:50.232,53.5,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389150242,2024-02-08T12:45:50.242,53.51,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389150252,2024-02-08T12:45:50.252,53.52,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389150262,2024-02-08T12:45:50.262,53.53,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389150272,2024-02-08T12:45:50.272,53.54,0.6023367,0.0031051221,-0.7980152,-0.018776616
